"_unit_id","_golden","_unit_state","_trusted_judgments","_last_judgment_at","birthplace","birthplace:confidence","date_of_birth","date_of_birth:confidence","race_ethnicity","race_ethnicity:confidence","religion","religion:confidence","sexual_orientation","sexual_orientation:confidence"
670454713,"FALSE","finalized",3,"2/10/15 3:56","Bramhall, Cheshire, England",1,"15-Aug-12",1,"White",1,"Na",1,"Straight",1
670454714,"FALSE","finalized",3,"2/10/15 2:15","St. Louis, Mo",1,"18-Aug-20",1,"White",1,"Jewish",1,"Straight",1
670454715,"FALSE","finalized",3,"2/10/15 3:57","Charleroi, Pa",1,"31-Mar-34",1,"White",1,"Methodist",1,"Straight",1
670454716,"FALSE","finalized",3,"2/10/15 1:59","Humacao, Puerto Rico",1,"11-Dec-31",1,"Hispanic",1,"Na",1,"Straight",1
670454717,"FALSE","finalized",3,"2/10/15 2:02","Elmhurst, Ny",1,"14-Dec-46",1,"White",1,"Roman Catholic",1,"Straight",1
670454718,"FALSE","finalized",3,"2/10/15 1:46","London, England",1,"11-May-1892",1,"White",1,"Na",1,"Straight",1
670454719,"FALSE","finalized",3,"2/10/15 1:59","St. Petersburg, Russia",1,"9-Oct-18",1,"White",1,"Na",1,"Straight",1
670454720,"FALSE","finalized",3,"2/10/15 1:57","St. Louis, Mo",1,"18-Aug-20",1,"White",1,"Jewish",1,"Straight",1
670454721,"FALSE","finalized",3,"2/10/15 4:02","Hastings, Ne",0.6667,"27-Apr-37",1,"White",1,"Na",1,"Bisexual",1
670454722,"FALSE","finalized",3,"2/10/15 3:53","Marblehead, Ma",1,"20-Nov-27",1,"White",1,"Na",1,"Straight",1
670454723,"FALSE","finalized",3,"2/10/15 1:47","Quincy, Ma",1,"30-Oct-1896",1,"White",1,"Na",1,"Straight",1
670454724,"FALSE","finalized",3,"2/10/15 2:13","Silver Spring, Md",1,"21-Nov-45",1,"White",1,"Buddhist",1,"Straight",1
670454725,"FALSE","finalized",3,"2/10/15 1:51","Washington, Dc",1,"10-Oct-1900",1,"White",1,"Na",1,"Straight",1
670454726,"FALSE","finalized",3,"2/10/15 1:55","Des Moines, Ia",0.6667,"30-Apr-26",1,"White",1,"Na",1,"Straight",1
670454727,"FALSE","finalized",3,"2/10/15 2:04","Columbus, Oh",1,"29-Mar-19",0.6667,"White",1,"Na",1,"Straight",1
670454728,"FALSE","finalized",3,"2/10/15 2:04","Los Angeles, Ca",1,"5-Nov-63",1,"White",1,"Na",1,"Straight",1
670454729,"FALSE","finalized",3,"2/10/15 2:02","Stockholm, Sweden",1,"29-Aug-15",1,"White",1,"Na",1,"Straight",1
670454730,"TRUE","golden",87,,"New York City",1,"31-Oct-27",1,"White",0.9594,"Jewish",1,"Straight",1
670454731,"FALSE","finalized",3,"2/10/15 2:14","Old Westbury, Ny",1,"2-Aug-14",1,"White",1,"Na",1,"Straight",1
670454732,"FALSE","finalized",3,"2/10/15 2:06","London, England",1,"30-Jan-37",1,"White",1,"Na",1,"Straight",1
670454733,"FALSE","finalized",3,"2/10/15 1:46","Ilford, Essex, England",1,"28-Dec-34",1,"White",1,"Na",1,"Straight",1
670454734,"FALSE","finalized",3,"2/10/15 4:08","Summit, Nj",1,"22-Jun-49",1,"White",1,"Na",1,"Straight",1
670454735,"FALSE","finalized",3,"2/10/15 4:14","Newport, Ar",1,"8-Feb-53",1,"White",1,"Na",1,"Straight",1
670454736,"FALSE","finalized",3,"2/10/15 2:19","Troy, Ny",1,"21-Jun-25",1,"White",1,"Roman Catholic",1,"Straight",1
670454737,"FALSE","finalized",3,"2/10/15 2:07","Cloquet, Mn",1,"20-Apr-49",1,"White",1,"Na",1,"Straight",1
670454738,"FALSE","finalized",3,"2/10/15 2:05","Morristown, Nj",1,"2-Apr-45",1,"White",1,"Na",1,"Na",0.6857
670454739,"FALSE","finalized",3,"2/10/15 1:49","Croydon, Surrey, England",1,"22-Dec-07",1,"White",1,"Agnostic",1,"Straight",1
670454740,"FALSE","finalized",3,"2/10/15 2:10","Santa Monica, Ca",1,"8-Jul-51",1,"White",1,"Na",1,"Straight",1
670454741,"FALSE","finalized",3,"2/10/15 1:49","Kansas City, Mo",1,"28-Mar-48",1,"White",1,"Na",1,"Straight",1
670454742,"FALSE","finalized",3,"2/10/15 2:07","Lowell, Ma",1,"20-Jun-31",1,"White",1,"Na",1,"Straight",1
670454743,"FALSE","finalized",3,"2/10/15 3:50","Wareham, Ma",1,"21-Jan-56",1,"White",1,"Congregationalist",1,"Straight",1
670454744,"FALSE","finalized",3,"2/10/15 4:21","Dublin, Ireland",1,"17-Feb-45",1,"White",1,"Na",1,"Straight",1
670454745,"FALSE","finalized",3,"2/10/15 2:05","New York City",1,"13-Nov-55",1,"Black",1,"Atheist",1,"Straight",1
670454746,"FALSE","finalized",3,"2/10/15 2:08","Queens, Ny",1,"28-Feb-48",1,"Hispanic",1,"Roman Catholic",1,"Straight",1
670454747,"FALSE","finalized",3,"2/10/15 1:46","Brooklyn, Ny",1,"4-Dec-64",1,"White",1,"Na",1,"Straight",1
670454748,"FALSE","finalized",3,"2/10/15 2:03","Winnipeg, Manitoba, Canada",1,"24-Jul-82",1,"White",1,"Na",1,"Bisexual",1
670454749,"FALSE","finalized",3,"2/10/15 2:00","Kansas City, Mo",1,"28-Mar-48",1,"White",1,"Na",1,"Straight",1
670454750,"FALSE","finalized",3,"2/10/15 2:04","Tenafly, Nj",1,"28-Sep-67",1,"White",1,"Atheist",1,"Straight",1
670454751,"FALSE","finalized",3,"2/10/15 1:58","Paris, France",1,"9-Mar-64",1,"White",1,"Na",1,"Straight",1
670454752,"FALSE","finalized",3,"2/10/15 1:51","Athens, Ga",1,"8-Dec-53",1,"White",1,"Na",1,"Straight",1
670454753,"FALSE","finalized",3,"2/10/15 4:14","York, North Yorkshire, England",1,"9-Dec-34",1,"White",1,"Quaker",1,"Straight",1
670454754,"TRUE","golden",87,,"Los Angeles, Ca",0.9593,"4-Jun-75",1,"White",1,"Buddhist",1,"Bisexual",1
670454755,"TRUE","golden",91,,"La Jolla, Ca",1,"14-Aug-59",1,"White",1,"Na",1,"Straight",1
670454756,"FALSE","finalized",3,"2/10/15 2:08","Catskill Mountains, Ny",1,"12-Dec-70",1,"White",1,"Jewish",1,"Straight",1
